car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner
ritz,2014.0,3.35,5.59,27000.0,petrol,dealer,manual,0.0
sx4,2013.0,4.75,9.54,43000.0,diesel,dealer,manual,0.0
ciaz,2017.0,7.25,9.85,6900.0,petrol,dealer,manual,0.0
wagon r,2011.0,2.85,4.15,5200.0,petrol,dealer,manual,0.0
swift,2014.0,4.6,6.87,42450.0,diesel,dealer,manual,0.0
vitara brezza,2018.0,9.25,9.83,2071.0,diesel,dealer,manual,0.0
ciaz,2015.0,6.75,8.12,18796.0,petrol,dealer,manual,0.0
s cross,2015.0,6.5,8.61,33429.0,diesel,dealer,manual,0.0
ciaz,2016.0,8.75,8.89,20273.0,diesel,dealer,manual,0.0
ciaz,2015.0,7.45,8.92,42367.0,diesel,dealer,manual,0.0
alto 800,2017.0,2.85,3.6,2135.0,petrol,dealer,manual,0.0
ciaz,2015.0,6.85,10.38,51000.0,diesel,dealer,manual,0.0
ciaz,2015.0,7.5,9.94,15000.0,petrol,dealer,automatic,0.0
ertiga,2015.0,6.1,7.71,26000.0,petrol,dealer,manual,0.0
dzire,2009.0,2.25,7.21,77427.0,petrol,dealer,manual,0.0
ertiga,2016.0,7.75,10.79,43000.0,diesel,dealer,manual,0.0
ertiga,2015.0,7.25,10.79,41678.0,diesel,dealer,manual,0.0
wagon r,2015.0,3.25,5.09,35500.0,cng,dealer,manual,0.0
sx4,2010.0,2.65,7.98,41442.0,petrol,dealer,manual,0.0
alto k10,2016.0,2.85,3.95,25000.0,petrol,dealer,manual,0.0
ignis,2017.0,4.9,5.71,2400.0,petrol,dealer,manual,0.0
sx4,2011.0,4.4,8.01,50000.0,petrol,dealer,automatic,0.0
alto k10,2014.0,2.5,3.46,45280.0,petrol,dealer,manual,0.0
wagon r,2013.0,2.9,4.41,56879.0,petrol,dealer,manual,0.0
swift,2011.0,3.0,4.99,20000.0,petrol,dealer,manual,0.0
swift,2013.0,4.15,5.87,55138.0,petrol,dealer,manual,0.0
swift,2017.0,6.0,6.49,16200.0,petrol,individual,manual,0.0
alto k10,2010.0,1.95,3.95,44542.0,petrol,dealer,manual,0.0
ciaz,2015.0,7.45,10.38,45000.0,diesel,dealer,manual,0.0
ritz,2012.0,3.1,5.98,51439.0,diesel,dealer,manual,0.0
ritz,2011.0,2.35,4.89,54200.0,petrol,dealer,manual,0.0
swift,2014.0,4.95,7.49,39000.0,diesel,dealer,manual,0.0
ertiga,2014.0,6.0,9.95,45000.0,diesel,dealer,manual,0.0
dzire,2014.0,5.5,8.06,45000.0,diesel,dealer,manual,0.0
sx4,2011.0,2.95,7.74,49998.0,cng,dealer,manual,0.0
dzire,2015.0,4.65,7.2,48767.0,petrol,dealer,manual,0.0
800,2006.0,0.35,2.28,99708.75,petrol,individual,manual,0.0
alto k10,2016.0,3.0,3.76,10079.0,petrol,dealer,manual,0.0
sx4,2006.0,2.25,7.98,62000.0,petrol,dealer,manual,0.0
baleno,2016.0,5.85,7.87,24524.0,petrol,dealer,automatic,0.0
alto k10,2014.0,2.55,3.98,46706.0,petrol,dealer,manual,0.0
sx4,2008.0,1.95,7.15,58000.0,petrol,dealer,manual,0.0
dzire,2014.0,5.5,8.06,45780.0,diesel,dealer,manual,0.0
omni,2012.0,1.25,2.69,50000.0,petrol,dealer,manual,0.0
ciaz,2014.0,7.5,12.04,15000.0,petrol,dealer,automatic,0.0
ritz,2013.0,2.65,4.89,64532.0,petrol,dealer,manual,0.0
wagon r,2006.0,1.05,4.15,65000.0,petrol,dealer,manual,0.0
ertiga,2015.0,5.8,7.71,25870.0,petrol,dealer,manual,0.0
ciaz,2017.0,7.75,9.29,37000.0,petrol,dealer,automatic,0.0
fortuner,2012.0,13.725000000000001,22.8,99708.75,diesel,dealer,automatic,0.0
fortuner,2015.0,13.725000000000001,22.8,40000.0,diesel,dealer,automatic,0.0
innova,2017.0,13.725000000000001,19.77,15000.0,diesel,dealer,automatic,0.0
fortuner,2013.0,13.725000000000001,22.8,99708.75,diesel,individual,automatic,0.0
innova,2006.0,2.75,10.21,90000.0,petrol,individual,manual,0.0
corolla altis,2009.0,3.6,15.04,70000.0,petrol,dealer,automatic,0.0
etios cross,2015.0,4.5,7.27,40534.0,petrol,dealer,manual,0.0
corolla altis,2010.0,4.75,18.54,50000.0,petrol,dealer,manual,0.0
etios g,2014.0,4.1,6.8,39485.0,petrol,dealer,manual,0.0
fortuner,2014.0,13.725000000000001,22.8,41000.0,diesel,dealer,automatic,0.0
corolla altis,2013.0,6.95,18.61,40001.0,petrol,dealer,manual,0.0
etios cross,2015.0,4.5,7.7,40588.0,petrol,dealer,manual,0.0
fortuner,2014.0,13.725000000000001,22.8,78000.0,diesel,dealer,automatic,0.0
fortuner,2015.0,13.725000000000001,22.8,47000.0,diesel,dealer,automatic,0.0
fortuner,2017.0,13.725000000000001,22.8,6000.0,diesel,dealer,automatic,0.0
etios liva,2014.0,4.75,6.95,45000.0,diesel,dealer,manual,0.0
innova,2017.0,13.725000000000001,22.8,11000.0,petrol,dealer,automatic,0.0
fortuner,2010.0,9.25,20.45,59000.0,diesel,dealer,manual,0.0
corolla altis,2011.0,4.35,13.74,88000.0,petrol,dealer,manual,0.0
corolla altis,2016.0,13.725000000000001,20.91,12000.0,petrol,dealer,manual,0.0
etios liva,2014.0,3.95,6.76,71000.0,diesel,dealer,manual,0.0
corolla altis,2011.0,4.5,12.48,45000.0,diesel,dealer,manual,0.0
corolla altis,2013.0,7.45,18.61,56001.0,petrol,dealer,manual,0.0
etios liva,2011.0,2.65,5.71,43000.0,petrol,dealer,manual,0.0
etios cross,2014.0,4.9,8.93,83000.0,diesel,dealer,manual,0.0
etios g,2015.0,3.95,6.8,36000.0,petrol,dealer,manual,0.0
corolla altis,2013.0,5.5,14.68,72000.0,petrol,dealer,manual,0.0
corolla,2006.0,1.5,12.35,99708.75,petrol,dealer,automatic,0.0
corolla altis,2010.0,5.25,22.8,80000.0,petrol,dealer,automatic,0.0
fortuner,2012.0,13.725000000000001,22.8,89000.0,diesel,dealer,automatic,0.0
corolla altis,2016.0,13.725000000000001,14.89,23000.0,diesel,dealer,manual,0.0
etios gd,2015.0,4.75,7.85,40000.0,diesel,dealer,manual,0.0
innova,2017.0,13.725000000000001,22.8,15000.0,diesel,dealer,automatic,0.0
innova,2015.0,12.5,13.46,38000.0,diesel,dealer,manual,0.0
innova,2006.0,3.49,13.46,99708.75,diesel,dealer,manual,0.0
camry,2006.0,2.5,22.8,99708.75,petrol,individual,automatic,0.0
land cruiser,2010.0,13.725000000000001,22.8,78000.0,diesel,dealer,manual,0.0
corolla altis,2012.0,5.9,13.74,56000.0,petrol,dealer,manual,0.0
etios liva,2013.0,3.45,6.05,47000.0,petrol,dealer,manual,0.0
etios g,2014.0,4.75,6.76,40000.0,petrol,dealer,manual,0.0
corolla altis,2009.0,3.8,18.61,62000.0,petrol,dealer,manual,0.0
innova,2014.0,11.25,16.09,58242.0,diesel,dealer,manual,0.0
innova,2006.0,3.51,13.7,75000.0,petrol,dealer,manual,0.0
corolla altis,2008.0,4.0,22.78,89000.0,petrol,dealer,automatic,0.0
corolla altis,2012.0,5.85,18.61,72000.0,petrol,dealer,manual,0.0
innova,2016.0,13.725000000000001,22.8,29000.0,diesel,dealer,automatic,0.0
corolla altis,2017.0,13.725000000000001,18.64,8700.0,petrol,dealer,manual,0.0
corolla altis,2013.0,7.05,18.61,45000.0,petrol,dealer,manual,0.0
fortuner,2010.0,9.65,20.45,50024.0,diesel,dealer,manual,0.0
royal enfield thunder 500,2016.0,1.75,1.9,3000.0,petrol,individual,manual,0.0
um renegade mojave,2017.0,1.7,1.82,1400.0,petrol,individual,manual,0.0
ktm rc200,2017.0,1.65,1.78,4000.0,petrol,individual,manual,0.0
bajaj dominar 400,2017.0,1.45,1.6,1200.0,petrol,individual,manual,0.0
royal enfield classic 350,2017.0,1.35,1.47,4100.0,petrol,individual,manual,0.0
ktm rc390,2015.0,1.35,2.37,21700.0,petrol,individual,manual,0.0
hyosung gt250r,2014.0,1.35,3.45,16500.0,petrol,individual,manual,0.0
royal enfield thunder 350,2013.0,1.25,1.5,15000.0,petrol,individual,manual,0.0
royal enfield thunder 350,2016.0,1.2,1.5,18000.0,petrol,individual,manual,0.0
royal enfield classic 350,2017.0,1.2,1.47,11000.0,petrol,individual,manual,0.0
ktm rc200,2016.0,1.2,1.78,6000.0,petrol,individual,manual,0.0
royal enfield thunder 350,2016.0,1.15,1.5,8700.0,petrol,individual,manual,0.0
ktm 390 duke,2014.0,1.15,2.4,7000.0,petrol,individual,manual,0.0
mahindra mojo xt300,2016.0,1.15,1.4,35000.0,petrol,individual,manual,0.0
royal enfield classic 350,2015.0,1.15,1.47,17000.0,petrol,individual,manual,0.0
royal enfield classic 350,2015.0,1.11,1.47,17500.0,petrol,individual,manual,0.0
royal enfield classic 350,2013.0,1.1,1.47,33000.0,petrol,individual,manual,0.0
royal enfield thunder 500,2015.0,1.1,1.9,14000.0,petrol,individual,manual,0.0
royal enfield classic 350,2015.0,1.1,1.47,26000.0,petrol,individual,manual,0.0
royal enfield thunder 500,2013.0,1.05,1.9,5400.0,petrol,individual,manual,0.0
bajaj pulsar rs200,2016.0,1.05,1.26,5700.0,petrol,individual,manual,0.0
royal enfield thunder 350,2011.0,1.05,1.5,6900.0,petrol,individual,manual,0.0
royal enfield bullet 350,2016.0,1.05,1.17,6000.0,petrol,individual,manual,0.0
royal enfield classic 350,2013.0,1.0,1.47,46500.0,petrol,individual,manual,0.0
royal enfield classic 500,2012.0,0.95,1.75,11500.0,petrol,individual,manual,0.0
royal enfield classic 500,2009.0,0.9,1.75,40000.0,petrol,individual,manual,0.0
bajaj avenger 220,2017.0,0.9,0.95,1300.0,petrol,individual,manual,0.0
bajaj avenger 150,2016.0,0.75,0.8,7000.0,petrol,individual,manual,0.0
honda cb hornet 160r,2017.0,0.8,0.87,3000.0,petrol,individual,manual,0.0
yamaha fz s v 2.0,2017.0,0.78,0.84,5000.0,petrol,individual,manual,0.0
honda cb hornet 160r,2017.0,0.75,0.87,11000.0,petrol,individual,manual,0.0
yamaha fz 16,2015.0,0.75,0.82,18000.0,petrol,individual,manual,0.0
bajaj avenger 220,2017.0,0.75,0.95,3500.0,petrol,individual,manual,0.0
bajaj avenger 220,2016.0,0.72,0.95,500.0,petrol,individual,manual,0.0
tvs apache rtr 160,2017.0,0.65,0.81,11800.0,petrol,individual,manual,0.0
bajaj pulsar 150,2015.0,0.65,0.74,5000.0,petrol,individual,manual,0.0
honda cbr 150,2014.0,0.65,1.2,23500.0,petrol,individual,manual,0.0
hero extreme,2013.0,0.65,0.787,16000.0,petrol,individual,manual,0.0
honda cb hornet 160r,2016.0,0.6,0.87,15000.0,petrol,individual,manual,0.0
bajaj avenger 220 dtsi,2015.0,0.6,0.95,16600.0,petrol,individual,manual,0.0
honda cbr 150,2013.0,0.6,1.2,32000.0,petrol,individual,manual,0.0
bajaj avenger 150 street,2016.0,0.6,0.8,20000.0,petrol,individual,manual,0.0
yamaha fz  v 2.0,2015.0,0.6,0.84,29000.0,petrol,individual,manual,0.0
yamaha fz  v 2.0,2016.0,0.6,0.84,25000.0,petrol,individual,manual,0.0
bajaj pulsar  ns 200,2014.0,0.6,0.99,25000.0,petrol,individual,manual,0.0
tvs apache rtr 160,2012.0,0.6,0.81,19000.0,petrol,individual,manual,0.0
hero extreme,2014.0,0.55,0.787,15000.0,petrol,individual,manual,0.0
yamaha fz s v 2.0,2015.0,0.55,0.84,58000.0,petrol,individual,manual,0.0
bajaj pulsar 220 f,2010.0,0.52,0.94,45000.0,petrol,individual,manual,0.0
bajaj pulsar 220 f,2016.0,0.51,0.94,24000.0,petrol,individual,manual,0.0
tvs apache rtr 180,2011.0,0.5,0.826,6000.0,petrol,individual,manual,0.0
hero passion x pro,2016.0,0.5,0.55,31000.0,petrol,individual,manual,0.0
bajaj pulsar ns 200,2012.0,0.5,0.99,13000.0,petrol,individual,manual,0.0
bajaj pulsar ns 200,2013.0,0.5,0.99,45000.0,petrol,individual,manual,0.0
yamaha fazer,2014.0,0.5,0.88,8000.0,petrol,individual,manual,0.0
honda activa 4g,2017.0,0.48,0.51,4300.0,petrol,individual,automatic,0.0
tvs sport,2017.0,0.48,0.52,15000.0,petrol,individual,manual,0.0
yamaha fz s v 2.0,2015.0,0.48,0.84,23000.0,petrol,individual,manual,0.0
honda dream yuga,2017.0,0.48,0.54,8600.0,petrol,individual,manual,0.0
honda activa 4g,2017.0,0.45,0.51,4000.0,petrol,individual,automatic,0.0
bajaj avenger street 220,2011.0,0.45,0.95,24000.0,petrol,individual,manual,0.0
tvs apache rtr 180,2014.0,0.45,0.826,23000.0,petrol,individual,manual,0.0
bajaj pulsar ns 200,2012.0,0.45,0.99,14500.0,petrol,individual,manual,0.0
bajaj avenger 220 dtsi,2010.0,0.45,0.95,27000.0,petrol,individual,manual,0.0
hero splender ismart,2016.0,0.45,0.54,14000.0,petrol,individual,manual,0.0
activa 3g,2016.0,0.45,0.54,500.0,petrol,individual,automatic,0.0
hero passion pro,2016.0,0.45,0.55,1000.0,petrol,individual,manual,0.0
tvs apache rtr 160,2014.0,0.42,0.81,42000.0,petrol,individual,manual,0.0
honda cb trigger,2013.0,0.42,0.73,12000.0,petrol,individual,manual,0.0
hero splender ismart,2015.0,0.4,0.54,14000.0,petrol,individual,manual,0.0
yamaha fz s,2012.0,0.4,0.83,5500.0,petrol,individual,manual,0.0
hero passion pro,2015.0,0.4,0.55,6700.0,petrol,individual,manual,0.0
bajaj pulsar 135 ls,2014.0,0.4,0.64,13700.0,petrol,individual,manual,0.0
activa 4g,2017.0,0.4,0.51,1300.0,petrol,individual,automatic,0.0
honda cb unicorn,2015.0,0.38,0.72,38600.0,petrol,individual,manual,0.0
hero honda cbz extreme,2011.0,0.38,0.787,75000.0,petrol,individual,manual,0.0
honda karizma,2011.0,0.35,1.05,30000.0,petrol,individual,manual,0.0
honda activa 125,2016.0,0.35,0.57,24000.0,petrol,individual,automatic,0.0
tvs jupyter,2014.0,0.35,0.52,19000.0,petrol,individual,automatic,0.0
honda karizma,2010.0,0.31,1.05,99708.75,petrol,individual,manual,0.0
hero honda passion pro,2012.0,0.3,0.51,60000.0,petrol,individual,manual,0.0
hero splender plus,2016.0,0.3,0.48,50000.0,petrol,individual,manual,0.0
honda cb shine,2013.0,0.3,0.58,30000.0,petrol,individual,manual,0.0
bajaj discover 100,2013.0,0.27,0.47,21000.0,petrol,individual,manual,0.0
bajaj pulsar 150,2008.0,0.25,0.75,26000.0,petrol,individual,manual,0.0
suzuki access 125,2008.0,0.25,0.58,1900.0,petrol,individual,automatic,0.0
tvs wego,2010.0,0.25,0.52,22000.0,petrol,individual,automatic,0.0
honda cb twister,2013.0,0.25,0.51,32000.0,petrol,individual,manual,0.0
hero glamour,2013.0,0.25,0.57,18000.0,petrol,individual,manual,0.0
hero super splendor,2006.0,0.2,0.57,55000.0,petrol,individual,manual,0.0
bajaj pulsar 150,2008.0,0.2,0.75,60000.0,petrol,individual,manual,0.0
bajaj discover 125,2012.0,0.2,0.57,25000.0,petrol,individual,manual,0.0
hero hunk,2007.0,0.2,0.75,49000.0,petrol,individual,manual,0.0
hero  ignitor disc,2013.0,0.2,0.65,24000.0,petrol,individual,manual,0.0
hero  cbz xtreme,2008.0,0.2,0.787,50000.0,petrol,individual,manual,0.0
bajaj  ct 100,2015.0,0.18,0.32,35000.0,petrol,individual,manual,0.0
activa 3g,2008.0,0.17,0.52,99708.75,petrol,individual,automatic,0.0
honda cb twister,2010.0,0.16,0.51,33000.0,petrol,individual,manual,0.0
bajaj discover 125,2011.0,0.15,0.57,35000.0,petrol,individual,manual,0.0
honda cb shine,2007.0,0.12,0.58,53000.0,petrol,individual,manual,0.0
bajaj pulsar 150,2006.0,0.1,0.75,92233.0,petrol,individual,manual,0.0
i20,2010.0,3.25,6.79,58000.0,diesel,dealer,manual,0.0
grand i10,2015.0,4.4,5.7,28200.0,petrol,dealer,manual,0.0
i10,2011.0,2.95,4.6,53460.0,petrol,dealer,manual,0.0
eon,2015.0,2.75,4.43,28282.0,petrol,dealer,manual,0.0
grand i10,2016.0,5.25,5.7,3493.0,petrol,dealer,manual,0.0
xcent,2017.0,5.75,7.13,12479.0,petrol,dealer,manual,0.0
grand i10,2015.0,5.15,5.7,34797.0,petrol,dealer,automatic,0.0
i20,2017.0,7.9,8.1,3435.0,petrol,dealer,manual,0.0
grand i10,2015.0,4.85,5.7,21125.0,diesel,dealer,manual,0.0
i10,2012.0,3.1,4.6,35775.0,petrol,dealer,manual,0.0
elantra,2015.0,11.75,14.79,43535.0,diesel,dealer,manual,0.0
creta,2016.0,11.25,13.6,22671.0,petrol,dealer,manual,0.0
i20,2011.0,2.9,6.79,31604.0,petrol,dealer,manual,0.0
grand i10,2017.0,5.25,5.7,20114.0,petrol,dealer,manual,0.0
verna,2012.0,4.5,9.4,36100.0,petrol,dealer,manual,0.0
eon,2016.0,2.9,4.43,12500.0,petrol,dealer,manual,0.0
eon,2016.0,3.15,4.43,15000.0,petrol,dealer,manual,0.0
verna,2014.0,6.45,9.4,45078.0,petrol,dealer,manual,0.0
verna,2012.0,4.5,9.4,36000.0,petrol,dealer,manual,0.0
eon,2017.0,3.5,4.43,38488.0,petrol,dealer,manual,0.0
i20,2013.0,4.5,6.79,32000.0,petrol,dealer,automatic,0.0
i20,2014.0,6.0,7.6,77632.0,diesel,dealer,manual,0.0
verna,2015.0,8.25,9.4,61381.0,diesel,dealer,manual,0.0
verna,2013.0,5.11,9.4,36198.0,petrol,dealer,automatic,0.0
i10,2011.0,2.7,4.6,22517.0,petrol,dealer,manual,0.0
grand i10,2015.0,5.25,5.7,24678.0,petrol,dealer,manual,0.0
i10,2011.0,2.55,4.43,57000.0,petrol,dealer,manual,0.0
verna,2012.0,4.95,9.4,60000.0,diesel,dealer,manual,0.0
i20,2012.0,3.1,6.79,52132.0,diesel,dealer,manual,0.0
verna,2013.0,6.15,9.4,45000.0,diesel,dealer,manual,0.0
verna,2017.0,9.25,9.4,15001.0,petrol,dealer,manual,0.0
elantra,2015.0,11.45,14.79,12900.0,petrol,dealer,automatic,0.0
grand i10,2013.0,3.9,5.7,53000.0,diesel,dealer,manual,0.0
grand i10,2015.0,5.5,5.7,4492.0,petrol,dealer,manual,0.0
verna,2017.0,9.1,9.4,15141.0,petrol,dealer,manual,0.0
eon,2016.0,3.1,4.43,11849.0,petrol,dealer,manual,0.0
creta,2015.0,11.25,13.6,68000.0,diesel,dealer,manual,0.0
verna,2013.0,4.8,9.4,60241.0,petrol,dealer,manual,0.0
eon,2012.0,2.0,4.43,23709.0,petrol,dealer,manual,0.0
verna,2012.0,5.35,9.4,32322.0,diesel,dealer,manual,0.0
xcent,2015.0,4.75,7.13,35866.0,petrol,dealer,manual,0.0
xcent,2014.0,4.4,7.13,34000.0,petrol,dealer,manual,0.0
i20,2016.0,6.25,7.6,7000.0,petrol,dealer,manual,0.0
verna,2013.0,5.95,9.4,49000.0,diesel,dealer,manual,0.0
verna,2012.0,5.2,9.4,71000.0,diesel,dealer,manual,0.0
i20,2012.0,3.75,6.79,35000.0,petrol,dealer,manual,0.0
verna,2015.0,5.95,9.4,36000.0,petrol,dealer,manual,0.0
i10,2013.0,4.0,4.6,30000.0,petrol,dealer,manual,0.0
i20,2016.0,5.25,7.6,17000.0,petrol,dealer,manual,0.0
creta,2016.0,12.9,13.6,35934.0,diesel,dealer,manual,0.0
city,2013.0,5.0,9.9,56701.0,petrol,dealer,manual,0.0
brio,2015.0,5.4,6.82,31427.0,petrol,dealer,automatic,0.0
city,2014.0,7.2,9.9,48000.0,diesel,dealer,manual,0.0
city,2013.0,5.25,9.9,54242.0,petrol,dealer,manual,0.0
brio,2012.0,3.0,5.35,53675.0,petrol,dealer,manual,0.0
city,2016.0,10.25,13.6,49562.0,petrol,dealer,manual,0.0
city,2015.0,8.5,13.6,40324.0,petrol,dealer,manual,0.0
city,2015.0,8.4,13.6,25000.0,petrol,dealer,manual,0.0
amaze,2014.0,3.9,7.0,36054.0,petrol,dealer,manual,0.0
city,2016.0,9.15,13.6,29223.0,petrol,dealer,manual,0.0
brio,2016.0,5.5,5.97,5600.0,petrol,dealer,manual,0.0
amaze,2015.0,4.0,5.8,40023.0,petrol,dealer,manual,0.0
jazz,2016.0,6.6,7.7,16002.0,petrol,dealer,manual,0.0
amaze,2015.0,4.0,7.0,40026.0,petrol,dealer,manual,0.0
jazz,2017.0,6.5,8.7,21200.0,petrol,dealer,manual,0.0
amaze,2014.0,3.65,7.0,35000.0,petrol,dealer,manual,0.0
city,2016.0,8.35,9.4,19434.0,diesel,dealer,manual,0.0
brio,2017.0,4.8,5.8,19000.0,petrol,dealer,manual,0.0
city,2015.0,6.7,10.0,18828.0,petrol,dealer,manual,0.0
city,2011.0,4.1,10.0,69341.0,petrol,dealer,manual,0.0
city,2009.0,3.0,10.0,69562.0,petrol,dealer,manual,0.0
city,2015.0,7.5,10.0,27600.0,petrol,dealer,manual,0.0
jazz,2010.0,2.25,7.5,61203.0,petrol,dealer,manual,0.0
brio,2014.0,5.3,6.8,16500.0,petrol,dealer,manual,0.0
city,2016.0,10.9,13.6,30753.0,petrol,dealer,automatic,0.0
city,2015.0,8.65,13.6,24800.0,petrol,dealer,manual,0.0
city,2015.0,9.7,13.6,21780.0,petrol,dealer,manual,0.0
jazz,2016.0,6.0,8.4,4000.0,petrol,dealer,manual,0.0
city,2014.0,6.25,13.6,40126.0,petrol,dealer,manual,0.0
brio,2015.0,5.25,5.9,14465.0,petrol,dealer,manual,0.0
city,2006.0,2.1,7.6,50456.0,petrol,dealer,manual,0.0
city,2014.0,8.25,14.0,63000.0,diesel,dealer,manual,0.0
city,2016.0,8.99,11.8,9010.0,petrol,dealer,manual,0.0
brio,2013.0,3.5,5.9,9800.0,petrol,dealer,manual,0.0
jazz,2016.0,7.4,8.5,15059.0,petrol,dealer,automatic,0.0
jazz,2016.0,5.65,7.9,28569.0,petrol,dealer,manual,0.0
amaze,2015.0,5.75,7.5,44000.0,petrol,dealer,automatic,0.0
city,2015.0,8.4,13.6,34000.0,petrol,dealer,manual,0.0
city,2016.0,10.11,13.6,10980.0,petrol,dealer,manual,0.0
amaze,2014.0,4.5,6.4,19000.0,petrol,dealer,manual,0.0
brio,2015.0,5.4,6.1,31427.0,petrol,dealer,manual,0.0
jazz,2016.0,6.4,8.4,12000.0,petrol,dealer,manual,0.0
city,2010.0,3.25,9.9,38000.0,petrol,dealer,manual,0.0
amaze,2014.0,3.75,6.8,33019.0,petrol,dealer,manual,0.0
city,2015.0,8.55,13.09,60076.0,diesel,dealer,manual,0.0
city,2016.0,9.5,11.6,33988.0,diesel,dealer,manual,0.0
brio,2015.0,4.0,5.9,60000.0,petrol,dealer,manual,0.0
city,2009.0,3.35,11.0,87934.0,petrol,dealer,manual,0.0
city,2017.0,11.5,12.5,9000.0,diesel,dealer,manual,0.0
brio,2016.0,5.3,5.9,5464.0,petrol,dealer,manual,0.0
